"","language","cossim_span","cossim_jap","cossim_eng","cossim_unr","latitude","longitude"
"1","Agutaynen",0.517710288207665,0.404562444760574,0.762547645015716,0.658797917818512,10.5328,119.655
"2","Arta",0.496320230189953,0.305389543053145,0.548946541123923,0.511864176690654,16.4185,121.656
"3","Ata Manobo",0.450786270235773,0.38129558106321,0.745177501456383,0.645454698725611,7.7789,125.499
"4","Balangingi",0.460796783680255,0.394134625599777,0.674557101998811,0.668056556859466,6.011614,121.686646
"5","Bonggi",0.466459962289462,0.495034027015631,0.744629218695568,0.767271084790252,7.29249,117.174
"6","Botolan Sambal",0.391187446237893,0.433103636104484,0.644504437891239,0.706275990380422,15.2315,120.164
"7","Central Cagayan Agta",0.373482742023886,0.407123003186656,0.58665485330546,0.614734471699469,17.9571,121.857
"8","Coastal-Naga Bikol",0.488730059160088,0.443519368974905,0.55178995741449,0.664700839154778,13.7574,123.403
"9","Central Bontoc",0.476796055245973,0.370879370979834,0.676811975458979,0.654617688431152,17.08,120.92
"10","Filipino",0.489611990956117,0.485056283383624,0.654626588080151,0.724663981944112,12.265,123.464
"11","Ibaloi",0.48127511683653,0.412035908061395,0.697595483264038,0.695056511953968,16.4263,120.695
"12","Ibanag",0.522709253122931,0.386758788879165,0.777597733504364,0.669314641403267,17.4201,121.891
"13","Ibatan",0.4640945288184,0.405186884385733,0.639127044807719,0.63468350789549,18.9398,121.909
"14","Ilongot",0.587709017602225,0.376178183034655,0.70656370282279,0.624928825542867,16.3785,121.547
"15","Isinai",0.460794146961241,0.394938774071744,0.675092780814611,0.668978230377848,16.3299,121.12
"16","Isnag",0.457070789804669,0.405770004302189,0.614618319565669,0.6526334960363,18.2139,121.16
"17","Kagayanen",0.442730211494557,0.404680805192206,0.628701322392632,0.667616118397044,10.4656,119.872
"18","Karao",0.344419635890634,0.329609533780756,0.488656224937133,0.522439907504936,16.5655,120.956
"19","Keley-i Kallahan",0.433603635040377,0.380359987533349,0.719673876433965,0.613761448724011,16.7099,121.035
"20","Kinaray-a",0.550117933405523,0.383473343404421,0.61923475678272,0.609515914666714,10.8131,122.297
"21","Maguindanao",0.63341341663538,0.363071516636218,0.67839921003741,0.616447515506928,6.9453,124.509
"22","Masbatenyo",0.437565943610049,0.31821122986462,0.544872952303901,0.551494176948677,12.21453,123.63579
"23","Northern Subanen",0.445472884870971,0.394016003323249,0.765972674266885,0.661816969689445,8.5232,123.588
"24","Pangasinan",0.491532775241955,0.458970719468714,0.645508978129556,0.726829709808522,15.9377,120.365
"25","Pangutaran Sama",0.453807678265688,0.418539847928724,0.66019380705303,0.680330333998432,6.27167,120.536
"26","Rungus",0.450565298295008,0.435347132911083,0.7549063776142,0.711222349772176,6.83989,116.743
"27","Sabah Malay",0.446191181842989,0.449936447529674,0.771031826805353,0.758702534227797,4.64808,117.024
"28","Southern Sama",0.384873896917666,0.43176576237005,0.677816269696185,0.71271143099343,4.755836,119.483887
"29","Tagabawa",0.533598480192624,0.37021534758488,0.737938438997715,0.624213513614623,6.9712,125.175
"30","Tambunan Dusun",0.450565298295008,0.435347132911083,0.7549063776142,0.711222349772176,5.68284,116.373
"31","Tatana",0.360283916262079,0.418694772409593,0.61511954118181,0.572141192337986,5.49808,115.553
"32","Tausug",0.538973950819433,0.337250156127586,0.542586728744707,0.560583509873841,5.12236,118.88
"33","Tboli",0.4468790369931,0.383649960056374,0.674259094097877,0.685257089091698,6.20377,124.538
"34","Timugon Murut",0.422388253073154,0.411229708197486,0.635126368011911,0.679870283889374,5.1796,115.826
"35","Tuwali Ifugao",0.500627032923083,0.382066088420707,0.723615331738526,0.664867250476225,16.6646,121.113
"36","Western Subanon",0.377515929131029,0.34160796083569,0.535316629452485,0.559230853800693,7.79964,122.341
"37","West Coast Bajau",0.402219430945154,0.429444250387342,0.691667248277089,0.711422472786176,6.00631,116.124
"38","Yakan",0.429701926497779,0.407476315950097,0.646612921522862,0.689066025513621,6.531023,122.021729
"39","Yogad",0.478751699048169,0.418947030841638,0.61575100333737,0.657459437899935,16.7015,121.718
