"language","latitude","longitude","cossim_span","cossim_jap","cossim_eng","cossim_unr","span_influenced","jap_influenced","eng_influenced","sig_span","sig_jap","sig_eng"
"Agutaynen",10.5328,119.655,0.44701615431731,0.348238765595502,0.65242882254463,0.532158791656323,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Arta",16.4185,121.656,0.47059568966824,0.288610660194006,0.515659311017149,0.468762008569385,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ata Manobo",7.7789,125.499,0.407307082175717,0.343425907285181,0.667122550456946,0.563388914937143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Balangingi",6.011614,121.686646,0.40801479013994,0.347904849407861,0.591846680469549,0.541622722735217,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bonggi",7.29249,117.174,0.44444242343258,0.470781857932845,0.703555834360642,0.657151403906943,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Botolan Sambal",15.2315,120.164,0.336127908669849,0.371035082996379,0.548812081379646,0.545616298219905,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Central Cagayan Agta",17.9571,121.857,0.32939208568697,0.35795144363915,0.51269106597401,0.525020510363473,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Coastal-Naga Bikol",13.7574,123.403,0.434941115395409,0.39881446850199,0.493181425857412,0.52892000269292,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Central Bontoc",17.08,120.92,0.416069016106852,0.322622096694313,0.585199667919617,0.518906204723298,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Filipino",12.265,123.464,0.431978425388737,0.433292995406414,0.581243057934365,0.547218998661975,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Ibaloi",16.4263,120.695,0.432900283159144,0.3694499392111,0.621725669729794,0.5704396429873,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ibanag",17.4201,121.891,0.47033307565736,0.346905446747011,0.693266984320552,0.547430300405842,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ibatan",18.9398,121.909,0.413101844468402,0.359540072356428,0.563707382492326,0.540031894902059,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ilongot",16.3785,121.547,0.541657942401005,0.345583437960846,0.645186460010409,0.539194162864103,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Isinai",16.3299,121.12,0.40823170361901,0.348801320533007,0.592633797662975,0.542465843132105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Isnag",18.2139,121.16,0.400442091547015,0.354407822495011,0.533584819386423,0.548982851034795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kagayanen",10.4656,119.872,0.406166568607275,0.375981288611081,0.577594567457875,0.551518337343369,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Karao",16.5655,120.956,0.315932791481601,0.301375702213587,0.444105867272719,0.465746215560474,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Keley-i Kallahan",16.7099,121.035,0.392227972371424,0.342972250670668,0.645021962506031,0.521037617402326,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kinaray-a",10.8131,122.297,0.498782371988676,0.346581993187513,0.556289348831011,0.523876485011823,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Maguindanao",6.9453,124.509,0.564007059530924,0.322259952014043,0.598513701817467,0.505233047309535,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Masbatenyo",12.21453,123.63579,0.39156003343544,0.283845440915946,0.483099152694849,0.457796653942867,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Northern Subanen",8.5232,123.588,0.375755281244713,0.331336202347798,0.640240156934332,0.534495257495836,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Pangasinan",15.9377,120.365,0.431550940733834,0.408478389749698,0.571032724487628,0.532371190292117,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Pangutaran Sama",6.27167,120.536,0.391551645623959,0.360038811853502,0.56449299724635,0.541297917145456,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Rungus",6.83989,116.743,0.355231101987546,0.342274561692152,0.589938356098422,0.530095535782722,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sabah Malay",4.64808,117.024,0.452431203167046,0.460986342623183,0.777641637924672,0.621803824859778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Southern Sama",4.755836,119.483887,0.333399964524274,0.372891884328866,0.581863780284036,0.548352733052351,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tagabawa",6.9712,125.175,0.483128357365587,0.334133234587075,0.662003055928865,0.522533384820358,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tambunan Dusun",5.68284,116.373,0.355231101987546,0.342274561692152,0.589938356098422,0.530095535782722,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tatana",5.49808,115.553,0.3337456098788,0.386598020508606,0.5645419464657,0.538682942167521,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tausug",5.12236,118.88,0.500367663476967,0.312077822789054,0.49906201991425,0.49333067462649,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tboli",6.20377,124.538,0.397749323401641,0.34040503143329,0.594651106022307,0.531601696381136,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Timugon Murut",5.1796,115.826,0.373652010820658,0.362652697463022,0.556725583170799,0.579292458245174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tuwali Ifugao",16.6646,121.113,0.461321970684758,0.350933691690565,0.660646194736456,0.570279480438992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Western Subanon",7.79964,122.341,0.342728317755422,0.309140986340478,0.481519572849949,0.475353713645339,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"West Coast Bajau",6.00631,116.124,0.322698282688379,0.343552101119347,0.549993596199704,0.538818482418563,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Yakan",6.531023,122.021729,0.384677850759186,0.363634456724747,0.57356367891138,0.562489332885939,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Yogad",16.7015,121.718,0.426858633203231,0.372367339482527,0.543991605561219,0.565844324428029,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
