phoneme,PC1_loading,PC2_loading,ipa,class,IDF,label
phoneme_385,-0.6972025000564267,-0.207396673623263,ɸ,consonant,2.94443897916644,ɸ
phoneme_458,-0.42335060559856974,-0.2923613175677384,cː,mod_consonant,2.2512917986065,cː
phoneme_380,-0.28395729106174605,-0.19104325282145002,ž,consonant,3.8607297110406,ž
phoneme_633,0.20346612944641382,-0.15465727917850966,c,consonant,2.56144672691033,c
phoneme_597,0.1963272047373788,-0.12536254569326433,ɟ,consonant,3.8607297110406,ɟ
phoneme_711,0.19414836887065187,-0.4151118207491766,ɾ,consonant,1.6271374895335,ɾ
phoneme_396,0.18108710496464808,-0.3481068325708552,I,vowel,2.70805020110221,I
phoneme_364,0.13015758702167604,-0.12708810697023162,βʷ,consonant,4.55387689160054,βʷ
phoneme_141,-0.12813693611524696,0.4837857047685078,ɨ,vowel,1.7404661748405,ɨ
phoneme_341,-0.10949238412697186,-0.03572557652749831,x,consonant,2.60796674254523,x
phoneme_128,-0.09951777967781678,-0.03194586441452099,ɔ,vowel,1.43298147509254,ɔ
phoneme_134,0.09912205243974004,-0.26904054591575965,ʊ,vowel,2.94443897916644,ʊ
phoneme_327,-0.09078437211880956,0.10183143735181147,β,consonant,1.988927534139,β
phoneme_136,0.0850655517228684,-0.1453420190532282,ɐ,vowel,3.3499040872746,ɐ
phoneme_401,-0.06953439631098743,-0.06596928560886678,ɛ,vowel,1.40399393821929,ɛ
phoneme_012,0.06294126997141675,-0.11432125161028389,ɡ̌,consonant,1.91481956198528,ɡ̌
phoneme_391,-0.053599529429656165,0.0029108146637779873,e,vowel,0.384631021205322,e
phoneme_536,-0.0529593846074169,-0.018676585491288953,n˜,consonant,1.66350513370438,n˜
phoneme_397,0.04524949052448553,-0.03415282568373769,ø,vowel,3.16758253048065,ø
phoneme_329,0.03462523502370339,-0.022388550972247054,h,consonant,0.499197585770872,h
phoneme_038,0.03205232010640682,-0.04597694151361342,č,consonant,1.7404661748405,č
phoneme_328,0.029664159280661385,0.01978492022073539,f,consonant,1.44779656087768,f
phoneme_386,0.027147293474944528,0.09188897466541376,ẓ,consonant,4.95934199970871,ẓ
phoneme_555,0.023197528810335787,0.009367081880497575,ʔ,consonant,0.615536577855021,ʔ
phoneme_338,-0.022935633570031675,-0.005312893334888997,v,consonant,1.10919439799865,v
phoneme_139,0.022165275375933602,-0.08674412692656086,ə,vowel,1.33500106673234,ə
phoneme_121,-0.02133192119205518,0.0032335475448401763,o,vowel,0.267994117479562,o
phoneme_492,0.016886758676449915,0.15988302358292591,v̆,mod_vowel,4.95934199970871,v̆
phoneme_648,0.012846601210871804,-9.475548574475873e-4,p,consonant,0.115154913250114,p
phoneme_704,-0.012465691612613848,0.09591820039537992,r,consonant,0.577315365034824,r
phoneme_482,0.00500427798325733,-0.14203526997123658,vː,mod_vowel,0.856698634671909,vː
phoneme_123,-0.004702464178660437,0.007990604360389841,u,vowel,0.0918075492531229,u
phoneme_294,0.003803672587237724,0.16236400373257753,ɣ,consonant,1.52535479522356,ɣ
phoneme_392,-0.003368261989405227,0.006474867509917733,i,vowel,0.0503703593889496,i
phoneme_453,-0.002218938221848602,0.16018717136315855,ḷ,consonant,4.26619481914876,ḷ
phoneme_145,-0.0018201273587067097,0.004940253416568063,a,vowel,0.0540672212702758,a
phoneme_334,-0.0015561473218631177,-8.673389967648121e-4,s,consonant,0.139060434103668,s
phoneme_476,-0.0013435599367230123,0.019089907928106394,cʷ,mod_consonant,1.28304132780163,cʷ
phoneme_430,-3.9858106494049304e-4,-0.0028703453557932077,l,consonant,0.155320954975449,l
