"language","n_exceed"
"Kanuri",34
"Fur",31
"Bodo",25
"Turkmen",21
"Kodagu",21
"Kanakuru",18
"Micmac",18
"Dongolawi",16
"Coptic",16
"Yaaku",16
"Alabama",16
"Karok",15
"Galibi",14
"Gude",13
"Lotha",12
"Ao",12
"Finnish",11
"Garo",11
"Tamil",9
"Ngalkbon",9
"Blackfoot",9
"Hidatsa",9
"Babanki",8
"Trio",8
"Waiwai",8
"Zayse",7
"Arapaho",7
"Shawnee",7
"Hungarian",6
"Southern Saami",6
"Thado",6
"Khasi",6
"Nyoro",5
"Lozi",5
"Kalmyk",5
"Temne",4
"Shilluk",4
"Margi",4
"Kilba",4
"Basque",4
"Ingrian",4
"Uzbek",4
"Nyakyusa",3
"Sura",3
"Dasenech",3
"Vepsian",3
"Livonian",3
"Azerbaijani",3
"Tatar",3
"Wagiman",3
"Aranda",3
"Dagbani",2
"Mumuye",2
"Aghem",2
"Songhai",2
"Nuer",2
"Afar",2
"Eastern Saami",2
"Crimean Turkish",2
"Malto",2
"Maung",2
"Gugu Yalandyi",2
"Suppire",1
"Nupe",1
"Murle",1
"Mangbetu",1
"Gagauz",1
"Turkish",1
"Bashkir",1
"Baraba",1
"Greenlandic",1
"Kannada",1
"Malayalam",1
"Lepcha",1
"Thulung",1
"Khaling",1
"Maranungku",1
"Pitta-Pitta",1
"Kalkatungu",1
"Nhanda",1
"Crow",1
"Wayana",1
"Hadza",0
"Kxoe",0
"Buka",0
"Xu^",0
"\u450?Hu^",0
"Fon",0
"Idoma",0
"Degema",0
"Igbo",0
"Tikar",0
"Bembe\sub 2\nosupersub",0
"Mwera",0
"Tswana",0
"Southern Sotho",0
"Tera",0
"Glavda",0
"Paa",0
"Kemant",0
"Bilin",0
"Burji",0
"Hadiyya",0
"Georgian",0
"Kabardian",0
"Hunzib",0
"Lezgi",0
"Chuvash",0
"Newari",0
"Thakali",0
"Chepang",0
"Sunwar",0
"Nocte",0
"Angami",0
"Tangkhul",0
"Kusunda",0
"Marithiyel",0
"Yalarnnga",0
"Eyak",0
"Hare",0
"Slave",0
"Chipewyan",0
"Yurok",0
"Bella Coola",0
"Halkomelem",0
"Lushootseed",0
"Upper Chehalis",0
"Cowlitz",0
"Coeur dAlene",0
"Yuchi",0
"Cherokee",0
"Coos",0
"Nez Perce",0
"Mountain Maidu",0
"Chitimacha",0
"Northern Paiute",0
"Shoshone",0
