lon,lat,n_samples
109.136,1.027,0
109.143,2.053,0
110.115,0.514,0
110.121,1.541,0
110.132,2.568,0
111.097,1.029,0
111.107,2.056,0
111.124,3.083,0
112.073,0.515,0
112.081,1.544,0
112.097,2.571,0
112.12,3.597,0
113.055,1.03,0
113.069,2.059,0
113.091,3.085,0
113.123,4.108,0
114.04,1.546,0
114.061,2.573,0
114.093,3.597,0
114.136,4.616,0
115.011,1.031,0
115.03,2.06,0
115.061,3.086,0
115.106,4.105,0
115.162,5.117,1
115.231,6.119,0
116.028,2.573,0
116.073,3.593,0
116.133,4.604,0
116.208,5.603,3
116.297,6.588,1
116.4,7.557,0
116.517,8.509,0
117.104,4.089,0
117.185,5.084,1
117.284,6.061,0
117.4,7.017,1
117.531,7.95,0
117.534,9.098,0
118.073,3.574,0
118.164,4.561,0
118.276,5.524,0
118.407,6.459,0
118.415,7.605,0
118.431,8.734,0
118.45,9.853,0
118.471,10.967,0
119.148,4.03,0
119.278,4.969,2
119.29,6.111,0
119.311,7.234,0
119.336,8.347,0
119.362,9.455,0
119.388,10.56,2
119.414,11.664,0
119.44,12.767,0
119.466,13.87,0
119.492,14.973,0
119.517,16.077,0
120.161,4.615,0
120.187,5.73,0
120.216,6.837,0
120.246,7.939,0
120.276,9.039,0
120.307,10.138,0
120.337,11.236,0
120.367,12.335,0
120.396,13.435,0
120.426,14.535,0
120.455,15.636,2
120.484,16.739,4
120.513,17.843,0
120.542,18.948,0
121.093,5.319,0
121.126,6.414,1
121.16,7.509,0
121.193,8.604,0
121.226,9.699,0
121.259,10.795,0
121.292,11.891,0
121.325,12.988,0
121.358,14.086,0
121.392,15.186,0
121.425,16.286,5
121.458,17.388,1
121.491,18.492,1
121.525,19.597,0
121.558,20.705,0
122.039,5.968,1
122.074,7.06,1
122.11,8.152,1
122.145,9.245,0
122.181,10.339,1
122.216,11.434,0
122.252,12.53,0
122.289,13.627,0
122.325,14.725,0
122.362,15.824,0
122.399,16.925,0
122.437,18.028,1
122.475,19.132,1
122.514,20.238,0
122.553,21.346,0
122.988,6.592,0
123.025,7.684,0
123.062,8.777,0
123.1,9.871,0
123.138,10.965,0
123.177,12.06,2
123.216,13.157,0
123.256,14.255,1
123.898,6.105,0
123.937,7.2,0
123.976,8.295,1
124.016,9.389,0
124.057,10.485,0
124.098,11.581,0
124.14,12.677,0
124.183,13.775,0
124.802,5.602,0
124.844,6.701,3
124.886,7.799,0
124.928,8.896,0
124.971,9.993,0
125.015,11.091,0
125.06,12.188,0
125.106,13.287,0
125.699,5.084,0
125.745,6.189,0
125.79,7.291,1
125.835,8.392,0
125.881,9.491,0
125.928,10.591,0
125.976,11.69,0
126.024,12.79,0
126.687,6.772,0
126.737,7.877,0
126.786,8.98,0
126.836,10.082,0
